site,location,region,species,life_stage,temporal_group,season,year,N,num_infected,num_infected_discrete,mean_natural_with_zeros,var_natural_with_zeros,mean_natural_without_zeros,var_natural_without_zeros,mean_log10_without_zeros,var_log10_without_zeros,mean_discrete_ceiling_with_zeros,var_discrete_ceiling_with_zeros,mean_discrete_floor_with_zeros,var_discrete_floor_with_zeros,nbd_k,nbd_mu,nbd_aic,pois_lam,pois_aic,gamma_aic,gamma_shape,gamma_rate,lnorm_aic,lnorm_meanlog,lnorm_sdlog,weibull_aic,weibull_shape,weibull_scale,exp_aic,exp_rate,norm_gof_pvalue_sw,norm_gof_statistic_sw,norm_gof_pvalue_ks,norm_gof_statistic_ks,norm_gof_pvalue_kslc,norm_gof_statistic_kslc,norm_gof_pvalue_ad,norm_gof_statistic_ad,poulin_D,poulin_D_log,cv_log,log_cv,cv,dataset
MUD46,usa,east_bay,TAGR,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTH1,usa,east_bay,TAGR,larva,1,summer,1,13,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTH4,usa,east_bay,TAGR,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRNTHIDK,usa,east_bay,TAGR,larva,1,summer,1,15,1,0,0.0256487972,0.00986791196710092,0.384731958,,-0.414841737252854,,0.0666666666666667,0.0666666666666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
PRNTHMIT,usa,east_bay,TAGR,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
PRPND014,usa,east_bay,TAGR,larva,1,summer,1,12,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
5CN1,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
5CN2,usa,east_bay,TATO,larva,1,summer,1,14,1,1,0.170931543047619,0.409046293720962,2.39304160266667,,0.378950248823013,,0.214285714285714,0.642857142857143,0.142857142857143,0.285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
BARN,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BNPND011,usa,east_bay,TATO,larva,1,summer,1,15,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,east_bay
BNPND024,usa,east_bay,TATO,larva,1,summer,1,15,1,0,0.000308546426666667,1.42801346113153e-06,0.0046281964,,-2.33458821980965,,0.0666666666666667,0.0666666666666667,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,east_bay
