site,location,region,species,life_stage,temporal_group,season,year,N,num_infected,num_infected_discrete,mean_natural_with_zeros,var_natural_with_zeros,mean_natural_without_zeros,var_natural_without_zeros,mean_log10_without_zeros,var_log10_without_zeros,mean_discrete_ceiling_with_zeros,var_discrete_ceiling_with_zeros,mean_discrete_floor_with_zeros,var_discrete_floor_with_zeros,nbd_k,nbd_mu,nbd_aic,pois_lam,pois_aic,gamma_aic,gamma_shape,gamma_rate,lnorm_aic,lnorm_meanlog,lnorm_sdlog,weibull_aic,weibull_shape,weibull_scale,exp_aic,exp_rate,norm_gof_pvalue_sw,norm_gof_statistic_sw,norm_gof_pvalue_ks,norm_gof_statistic_ks,norm_gof_pvalue_kslc,norm_gof_statistic_kslc,norm_gof_pvalue_ad,norm_gof_statistic_ad,poulin_D,poulin_D_log,cv_log,log_cv,cv,dataset,prev,phase,site_id
11221,Southern Sierra,california,ramu,subadult,2,summer,2,11,2,2,174.545454545455,154954.472727273,960,41472,2.97732961607352,0.0086170767144388,174.545454545455,154954.472727273,174.545454545455,154954.472727273,,,,,,,,,,,,,,,,,,,,,,,,,0.075,0.0110232096851648,0.0311783452752851,-0.673393743112328,0.212132034355964,sierra_nevada,0.181818181818182,"invasion
(Southern Sierra)",11221
11333,Southern Sierra,california,ramu,subadult,2,summer,2,10,9,9,502324.8,215420778214.4,558138.666666667,207302513728,5.59660551912489,0.178394508875058,502324.8,215420778214.4,502324.8,215420778214.4,0.368362641219332,502489.035815182,277.816951447152,502324.8,3882725.55465563,,,,,,,,,,,,,,,,,,,,0.401716180447392,0.0381934420481795,0.0754685567596217,-0.0884398263953008,0.815755806222365,sierra_nevada,0.9,"post-invasion
(Southern Sierra)",11333
50183,Southern Sierra,california,ramu,subadult,2,summer,2,27,1,1,577.777777777778,9013333.33333333,15600,,4.19312459835446,,577.777777777778,9013333.33333333,577.777777777778,9013333.33333333,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,sierra_nevada,0.037037037037037,"invasion
(Southern Sierra)",50183
72996,Northern Sierra,california,ramu,subadult,2,summer,2,16,15,15,118086,32075964787.2,125958.4,33304682013.2571,4.50938595964398,0.827798058021882,118086,32075964787.2,118086,32075964787.2,0.317581645171897,118127.848849898,388.163727079037,118086,3248570.8280204,378.505241826633,0.510401806190642,4.05214583696397e-06,379.216792273945,10.3832448892329,2.02393368527026,378.306943379584,0.598795043080877,87379.0947021638,384.311209180672,7.93912910929323e-06,0.604781017959207,0.954909701139543,0,0.999999999938729,0.5428,0.143841567071326,0.599341382960079,0.277625331163378,0.660792981386447,0.110478425208235,0.201764517570919,0.161025510398351,1.44885695670435,sierra_nevada,0.9375,"enzootic
(Northern Sierra)",72996
10090,Southern Sierra,california,ramu,adult,3,summer,3,25,2,2,645.12,10340175.36,8064,128512512,2.94376364089401,3.18792563877187,645.12,10340175.36,645.12,10340175.36,,,,,,,,,,,,,,,,,,,,,,,,,0.49702380952381,0.214440178888649,0.606528418604079,0.147922187253711,1.40579562450183,sierra_nevada,0.08,"invasion
(Southern Sierra)",10090
10206,Southern Sierra,california,ramu,adult,3,summer,3,13,1,1,25.8461538461539,8684.30769230769,336,,2.52633927738984,,25.8461538461539,8684.30769230769,25.8461538461539,8684.30769230769,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,sierra_nevada,0.0769230769230769,"invasion
(Southern Sierra)",10206
10223,Southern Sierra,california,ramu,adult,3,summer,3,26,1,1,7.38461538461539,1417.84615384615,192,,2.28330122870355,,7.38461538461539,1417.84615384615,7.38461538461539,1417.84615384615,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,sierra_nevada,0.0384615384615385,"invasion
(Southern Sierra)",10223
10225,Southern Sierra,california,ramu,adult,3,summer,3,11,11,11,2191413.81818182,2686499384999.56,2191413.81818182,2686499384999.56,6.21139434068446,0.138234014046425,2191413.81818182,2686499384999.56,2191413.81818182,2686499384999.56,1.82741258866158,2191776.20564439,345.200702202494,2191413.81818191,12188966.3337546,345.235751050638,1.96632242101589,8.97284850858208e-07,345.399877854238,14.3022640155676,0.816256787735433,345.285289859364,1.43463934183752,2445815.41683819,345.201264396641,4.56326409783107e-07,0.751054469480282,0.958358445692135,0,1,0.8872,0.126735252174348,0.824907140047538,0.205924127111851,0.394230175687327,0.0324194686450227,0.0598574701476654,-0.12613102306704,0.747943817982007,sierra_nevada,1,"post-invasion
(Southern Sierra)",10225
10244,Southern Sierra,california,ramu,adult,3,summer,3,12,6,6,36,2146.90909090909,72,1612.8,1.81093311243953,0.0434687710498234,36,2146.90909090909,36,2146.90909090909,0.157032930929075,36.0394123595674,91.8077956697522,36.0000000006139,736.104918533749,,,,,,,,,,,,,,,,,,,,0.240740740740741,0.0504450845134875,0.115129407924979,-0.253542239048553,0.557773351022717,sierra_nevada,0.5,"invasion
(Southern Sierra)",10244
10314,Southern Sierra,california,ramu,adult,3,summer,3,11,10,10,35336.7272727273,3941685420.21818,38870.4,4227033497.6,3.86902596437697,0.832546617746965,35336.7272727273,3941685420.21818,35336.7272727273,3941685420.21818,0.25722904020359,35353.9387858363,234.110545337033,35336.7272727273,868258.725429746,226.712511200589,0.397154804510816,1.02174097645205e-05,224.348383998084,8.90876150998132,1.99315569024751,225.789294624884,0.524108384447489,20503.2232865846,233.359766290119,2.57265168354326e-05,0.380685055430086,0.922775346370285,0,0.999999999666631,0.5396,0.173263595979096,0.439461922412553,0.331577285456179,0.715460607557422,0.126248523754457,0.235831946840402,0.223398834920958,1.67262596751051,sierra_nevada,0.909090909090909,"post-invasion
(Southern Sierra)",10314
10316,Southern Sierra,california,ramu,adult,3,summer,3,19,19,19,429218.52631579,147269962361.263,429218.52631579,147269962361.263,5.41593223771906,0.256341201149062,429218.52631579,147269962361.263,429218.52631579,147269962361.263,1.13939287314882,429073.223727584,534.651969683644,429218.526316022,5968076.42185418,534.922806384714,1.32045570793116,3.07641825078086e-06,536.606451522503,12.4706448352378,1.13470860484275,534.608925906332,1.09610763617301,444161.486976605,532.849415235621,2.32981555708588e-06,0.227510326549772,0.936462274975727,2.22044604925031e-16,1,0.1004,0.18031346293144,0.169196745296997,0.513299537485711,0.463903477019319,0.050777022414251,0.0934837199064624,-0.0486213711951767,0.894084629413966,sierra_nevada,1,"post-invasion
(Southern Sierra)",10316
10319,Southern Sierra,california,ramu,adult,3,summer,3,13,13,13,523081.846153846,216586016492.308,523081.846153846,216586016492.308,5.54883901635128,0.176755520183034,523081.846153846,216586016492.308,523081.846153846,216586016492.308,1.42255107042333,523264.648471378,371.459743484144,523081.846153846,4580054.39743101,371.471624340996,1.36858251850354,2.61638313118024e-06,371.201373643964,12.7766740024742,0.930081762398448,371.670980676139,1.20688805536635,564963.463090065,370.354823834536,1.91174671297211e-06,0.642101173859794,0.952854500681547,2.22044604925031e-16,1,0.7774,0.130653376302827,0.602674101033642,0.273744098542853,0.446286116402162,0.0406533396315399,0.0757677460164304,-0.0507544410026243,0.889704032552615,sierra_nevada,1,"post-invasion
(Southern Sierra)",10319
11518,Southern Sierra,california,ramu,adult,3,summer,3,13,2,2,11.0769230769231,827.076923076923,72,1152,1.83175623520758,0.0453095291447283,11.0769230769231,827.076923076923,11.0769230769231,827.076923076923,,,,,,,,,,,,,,,,,,,,,,,,,0.166666666666667,0.0410848875355224,0.116205610322618,-0.326606256887672,0.471404520791032,sierra_nevada,0.153846153846154,"invasion
(Southern Sierra)",11518
11520,Southern Sierra,california,ramu,adult,3,summer,3,10,7,7,264,67712,377.142857142857,51785.1428571429,2.46846195311939,0.151567571380591,264,67712,264,67712,0.246726419601867,264.006229284011,121.532385998569,264,2862.91185633188,,,,,,,,,,,,,,,,,,,,0.311688311688312,0.0745824247908562,0.15771634652994,-0.219403297529903,0.603388046771086,sierra_nevada,0.7,"post-invasion
(Southern Sierra)",11520
