site_id,year,capture_life_stage,bd_present,num_infected,num_samps,adult_abundance,prev,mean_bd,poulin_D
10215,2008,"",-1,0,0,9,-1,-1,-1
10215,2009,adult,1,1,2,2,0.5,1.68124123737559,0
10215,2010,"",-1,0,0,2,-1,-1,-1
10216,2005,"",-1,0,0,37,-1,-1,-1
10216,2006,adult,1,1,3,16,0.333333333333333,2.82736927305383,0
10216,2006,subadult,1,1,2,16,0.5,4.80082701233737,0
10216,2007,adult,1,2,5,13,0.4,2.15836249209525,0
10216,2008,"",-1,0,0,6,-1,-1,-1
10216,2009,subadult,1,2,3,14,0.666666666666667,1.91980186473542,0.25
10216,2009,adult,1,3,4,14,0.75,1.88192790115157,0.133333333333333
10216,2010,adult,1,4,10,20,0.4,3.68354302401557,0.626963983562968
10216,2010,subadult,0,0,3,20,0,-1,-1
10216,2011,"",-1,0,0,0,-1,-1,-1
10216,2012,"",-1,0,0,0,-1,-1,-1
10217,2005,"",-1,0,0,19,-1,-1,-1
10217,2006,"",-1,0,0,18,-1,-1,-1
10217,2007,subadult,0,0,1,14,0,-1,-1
10217,2007,adult,0,0,2,14,0,-1,-1
10217,2008,adult,1,2,5,7,0.4,1.83175623520758,0.166666666666667
10217,2008,subadult,0,0,1,7,0,-1,-1
10217,2009,subadult,1,1,1,10,1,6.17703525715046,0
10217,2009,adult,1,4,4,10,1,4.74148166153784,0.67244046818243
10217,2010,adult,1,1,1,2,1,6.47639102642641,0
10218,2005,"",-1,0,0,59,-1,-1,-1
10218,2006,subadult,1,3,15,86,0.2,1.88192790115157,0.133333333333333
10218,2006,adult,1,2,4,86,0.5,2.30887748992724,0.166666666666667
10218,2007,adult,1,1,4,38,0.25,2.52633927738984,0
10218,2008,adult,0,0,3,6,0,-1,-1
10218,2009,adult,1,9,10,38,0.9,3.93353345024626,0.690505449491625
10218,2009,subadult,1,2,3,38,0.666666666666667,4.9109230042899,0.376839659178931
10219,2005,"",-1,0,0,70,-1,-1,-1
10219,2006,"",-1,0,0,38,-1,-1,-1
10219,2007,subadult,0,0,1,13,0,-1,-1
10219,2007,adult,1,1,4,13,0.25,1.98227123303957,0
10219,2008,adult,1,1,7,26,0.142857142857143,5.23694013209449,0
10219,2009,adult,1,10,14,42,0.714285714285714,3.76047174281022,0.841298616665186
10219,2009,subadult,1,4,6,42,0.666666666666667,3.35107640375796,0.749757350603277
10219,2010,"",-1,0,0,0,-1,-1,-1
10220,2005,adult,0,0,10,23,0,-1,-1
10220,2006,adult,1,2,3,5,0.666666666666667,1.83175623520758,0.166666666666667
10220,2007,"",-1,0,0,5,-1,-1,-1
10220,2008,adult,0,0,3,4,0,-1,-1
10220,2009,adult,1,1,3,9,0.333333333333333,1.68124123737559,0
10220,2010,adult,1,1,4,12,0.25,1.68124123737559,0
10220,2012,subadult,0,0,2,2,0,-1,-1
10220,2012,adult,0,0,1,2,0,-1,-1
10220,2013,adult,1,1,7,21,0.142857142857143,1.68124123737559,0
10220,2014,adult,0,0,10,18,0,-1,-1
10220,2015,adult,0,0,9,10,0,-1,-1
10220,2016,adult,1,1,3,5,0.333333333333333,2.80758373126109,0
10220,2017,adult,0,0,5,6,0,-1,-1
10220,2018,adult,0,0,1,2,0,-1,-1
10220,2019,adult,0,0,3,1,0,-1,-1
